"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "comment", "blank", "total"
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\.VSCodeCounter\2025-04-14_16-36-41\details.md", "Markdown", 0, 0, 56, 0, 0, 6, 62
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\.VSCodeCounter\2025-04-14_16-36-41\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 6, 15
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\.VSCodeCounter\2025-04-14_16-36-41\diff.md", "Markdown", 0, 0, 12, 0, 0, 7, 19
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\.VSCodeCounter\2025-04-14_16-36-41\results.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\.VSCodeCounter\2025-04-14_16-36-41\results.md", "Markdown", 0, 0, 34, 0, 0, 7, 41
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\nodemon.json", "JSON", 5, 0, 0, 0, 0, 0, 5
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\package-lock.json", "JSON", 2727, 0, 0, 0, 0, 1, 2728
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\package.json", "JSON", 49, 0, 0, 0, 0, 1, 50
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\constants\constants.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 1
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\article\collaboration\controller.ts", "TypeScript", 0, 0, 0, 129, 2, 0, 131
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\article\collaboration\index.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 27
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\article\comment\controller.ts", "TypeScript", 0, 0, 0, 375, 14, 2, 391
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\article\comment\index.ts", "TypeScript", 0, 0, 0, 65, 0, 2, 67
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\article\comment\model.ts", "TypeScript", 0, 0, 0, 67, 2, 2, 71
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\article\controller.ts", "TypeScript", 0, 0, 0, 528, 4, 3, 535
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\article\index.ts", "TypeScript", 0, 0, 0, 65, 1, 0, 66
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\article\like\controller.ts", "TypeScript", 0, 0, 0, 179, 0, 1, 180
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\article\like\index.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 33
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\article\like\model.ts", "TypeScript", 0, 0, 0, 25, 2, 1, 28
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\article\models\article.ts", "TypeScript", 0, 0, 0, 89, 3, 1, 93
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\article\models\reader.ts", "TypeScript", 0, 0, 0, 29, 1, 1, 31
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\auth\controller.ts", "TypeScript", 0, 0, 0, 158, 0, 3, 161
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\auth\index.ts", "TypeScript", 0, 0, 0, 26, 0, 1, 27
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\notification\controller.ts", "TypeScript", 0, 0, 0, 198, 0, 0, 198
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\notification\model.ts", "TypeScript", 0, 0, 0, 60, 1, 1, 62
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\topic\controller.ts", "TypeScript", 0, 0, 0, 167, 53, 4, 224
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\topic\index.ts", "TypeScript", 0, 0, 0, 20, 2, 1, 23
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\topic\model.ts", "TypeScript", 0, 0, 0, 29, 0, 2, 31
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\user\controller.ts", "TypeScript", 0, 0, 0, 270, 5, 3, 278
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\user\follow\controller.ts", "TypeScript", 0, 0, 0, 270, 0, 1, 271
